SpecCode,Species,Habitat,DNW,SST,SSTrange,Productivity,GBIF,Range,TP,Length,Richness,Anthozoa,Cnidaria_other,Polychaeta,Clitellata,Annelida_other,Polyplacophora,Bivalvia,Gastropoda,Cephalopoda,Mollusca_other,Brachiopoda,Ostracoda,Maxillopoda,Malacostraca,Insecta,Arthropoda_other,Ophiuroidea,Echinoidea,Holothuroidea,Echinodermata_other,Actinopterygii,Chondrichthyes,Amphibia,Reptilia,Aves,Mammalia,Chordata_other,Animalia_other,Plantae
1056,Rypticus saponaceus,reef-associated,-0.06,0.59,-0.47,0.17,0.68,0.12,0.94,0.09,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1057,Hemiramphus balao,reef-associated,1.45,0.56,-0.32,-0.02,-0.05,-0.09,0.44,0.22,0.18,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1059,Hemiramphus brasiliensis,reef-associated,-0.06,0.56,-0.31,0.32,1.30,-0.14,-1.12,0.54,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1061,Holocentrus adscensionis,reef-associated,1.24,0.59,-0.51,0.05,0.96,0.14,-0.09,0.64,0.16,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1063,Myripristis jacobus,reef-associated,1.24,0.60,-0.55,-0.11,0.43,0.14,0.30,-0.25,0.15,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0
1066,Bodianus pulchellus,reef-associated,1.24,0.56,-0.37,-0.29,-0.37,-0.01,0.17,-0.12,0.21,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1067,Bodianus rufus,reef-associated,1.45,0.60,-0.49,-0.58,1.29,-0.15,-0.04,0.22,0.21,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1068,Halichoeres radiatus,reef-associated,1.24,0.62,-0.60,-0.55,0.68,-0.09,0.08,0.46,0.25,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1072,Lampris guttatus,bathypelagic,0.81,-0.14,-0.03,-1.03,0.05,2.77,1.32,1.82,-0.99,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1077,Lobotes surinamensis,benthopelagic,-0.06,0.61,-0.31,0.06,0.89,1.06,1.21,1.23,0.61,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1078,Lophius gastrophysus,bathydemersal,0.16,0.64,-0.75,-0.29,-0.21,-0.31,1.80,0.62,0.25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1081,Aluterus schoepfii,reef-associated,0.37,0.50,-0.08,0.52,0.76,0.14,0.94,0.64,0.02,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1082,Cantherhines pullus,reef-associated,1.67,0.57,-0.43,-0.37,0.37,-0.02,-0.95,-0.47,0.20,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
1084,Scomberesox saurus,pelagic-oceanic,0.37,-1.24,0.77,-0.22,0.91,1.34,0.41,0.44,-1.18,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1086,Mugil curema,reef-associated,1.67,0.48,0.08,0.77,2.39,0.31,-1.77,1.03,-0.02,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
1089,Mugil incilis,demersal,-1.13,0.69,-1.22,2.33,0.24,-1.00,-2.49,0.22,-0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1092,Mulloidichthys martinicus,reef-associated,2.32,0.59,-0.49,-0.28,0.51,0.09,0.08,0.20,0.16,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1094,Pseudupeneus maculatus,reef-associated,1.45,0.57,-0.39,-0.35,1.29,0.04,-0.14,-0.07,0.17,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1096,Cynoponticus savanna,demersal,-1.13,0.65,-0.83,-0.15,-1.35,-0.25,0.08,1.54,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1105,Ophichthus ophis,demersal,-0.27,0.60,-0.52,0.20,-1.32,-0.01,1.80,1.87,0.17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1109,Rhinesomus triqueter,reef-associated,1.45,0.54,-0.27,-0.09,0.33,-0.07,0.08,0.38,0.18,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
1112,Polydactylus virginicus,demersal,0.81,0.65,-0.81,-0.15,0.07,-0.05,-0.76,0.03,0.23,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
1117,Pomacanthus arcuatus,reef-associated,-0.06,0.62,-0.60,-0.42,1.14,-0.12,-0.61,0.62,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1118,Pomacanthus paru,reef-associated,0.81,0.61,-0.61,-0.33,0.87,0.00,-0.61,0.25,0.22,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
1121,Chromis multilineata,reef-associated,1.24,0.63,-0.69,-0.03,1.09,0.04,0.47,-0.47,0.19,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1122,Microspathodon chrysurus,reef-associated,2.10,0.64,-0.75,-0.72,0.88,-0.17,-2.49,-0.42,0.25,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
1123,Anisotremus surinamensis,reef-associated,1.88,0.59,-0.51,-0.32,0.21,-0.05,0.13,0.86,0.20,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1124,Anisotremus virginicus,reef-associated,2.32,0.63,-0.66,-0.40,1.21,-0.10,-0.02,0.23,0.25,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1126,Haemulon album,reef-associated,1.88,0.60,-0.53,-0.27,-0.09,-0.06,-0.09,0.90,0.21,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1128,Haemulon aurolineatum,reef-associated,2.32,0.55,-0.29,-0.10,1.47,-0.07,-0.45,-0.25,0.18,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
1131,Haemulon carbonarium,reef-associated,1.88,0.66,-0.85,-0.60,0.23,-0.28,0.08,0.11,0.29,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1132,Anchoa lyolepis,reef-associated,-0.06,0.43,0.24,0.75,1.75,-0.66,-0.09,-0.98,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1133,Anchoa hepsetus,pelagic-neritic,1.88,0.39,0.25,0.58,2.03,-0.08,-0.35,-0.74,0.01,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1134,Haemulon chrysargyreum,reef-associated,1.88,0.66,-0.84,-0.41,0.21,-0.30,0.06,-0.33,0.27,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1138,Haemulon melanurum,reef-associated,3.61,0.61,-0.56,-0.21,0.05,-0.16,0.08,0.03,0.24,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
1139,Haemulon parra,reef-associated,2.32,0.64,-0.71,-0.52,0.49,-0.17,0.78,0.25,0.27,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
1140,Haemulon plumierii,reef-associated,2.32,0.58,-0.41,-0.22,1.86,-0.06,0.56,0.50,0.21,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
1141,Haemulon sciurus,reef-associated,2.32,0.64,-0.73,-0.50,1.18,-0.20,-0.07,0.36,0.26,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1145,Orthopristis ruber,demersal,0.81,0.50,-0.03,0.61,-0.35,-0.04,0.25,0.22,0.05,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1146,Pomadasys corvinaeformis,demersal,0.59,0.68,-1.03,0.00,-0.52,-0.31,0.84,-0.25,0.23,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
1149,Priacanthus arenatus,reef-associated,1.24,0.43,-0.08,0.39,0.84,0.28,0.29,0.44,0.03,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1150,Heteropriacanthus cruentatus,reef-associated,1.45,0.69,-0.68,-0.39,0.75,1.00,0.42,0.45,0.81,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1151,Nicholsina usta,reef-associated,-0.92,0.53,-0.22,-0.12,0.19,-0.27,-2.49,-0.07,0.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1157,Scarus vetula,reef-associated,0.37,0.65,-0.70,-0.65,0.43,-0.35,-2.49,0.64,0.31,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1158,Sparisoma aurofrenatum,reef-associated,-0.06,0.66,-0.76,-0.67,1.90,-0.39,-2.49,-0.14,0.31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1160,Sparisoma rubripinne,reef-associated,-0.92,0.66,-0.81,-0.67,0.86,-0.46,-2.49,0.40,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1161,Sparisoma viride,reef-associated,-0.49,0.65,-0.77,-0.62,1.63,-0.18,-2.49,0.69,0.28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1164,Sparus aurata,demersal,2.10,-0.57,1.61,-0.29,0.50,-0.21,-0.11,0.78,-0.67,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1177,Cynoscion steindachneri,demersal,-0.49,0.70,-1.05,1.12,-0.89,-1.54,-0.35,1.23,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1179,Isopisthus parvipinnis,demersal,0.81,0.60,-1.02,1.32,-0.46,-0.81,0.25,-0.25,-0.17,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1180,Larimus breviceps,demersal,1.45,0.68,-1.09,0.26,-0.31,-0.34,0.03,-0.04,0.17,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1186,Ophioscion punctatissimus,demersal,-0.92,0.61,-0.56,0.22,-1.31,-0.27,-0.16,-0.25,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1187,Paralonchurus brasiliensis,demersal,0.81,0.32,0.34,1.32,-0.47,-0.04,-0.67,-0.07,-0.15,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
1188,Lonchurus elegans,demersal,-0.92,0.67,-0.98,0.62,-1.95,-0.60,-0.31,0.00,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1191,Sciaenops ocellatus,demersal,2.96,0.11,1.95,1.41,2.64,-0.86,0.49,1.57,-0.32,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
1193,Stellifer lanceolatus,demersal,1.02,0.17,1.95,1.61,1.43,-1.14,0.08,-0.47,-0.39,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1194,Stellifer microps,demersal,-1.13,0.68,-1.04,1.30,-0.50,-0.53,0.08,-0.47,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1195,Stephanolepis setifer,reef-associated,-0.06,0.54,-0.05,-0.21,0.16,0.05,-1.03,-0.47,0.42,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1196,Stellifer rastrifer,demersal,1.02,0.49,-0.02,1.00,-0.22,-0.09,0.08,-0.47,-0.02,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1198,Stromateus fiatola,benthopelagic,-0.27,-0.14,0.86,0.75,0.55,-0.18,0.99,0.44,-0.40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1200,Pontinus castor,demersal,-1.13,0.65,-0.72,-0.75,-1.34,-0.32,0.08,0.36,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1201,Scorpaena plumieri,reef-associated,0.81,0.52,-0.22,-0.08,0.72,0.12,1.01,0.34,0.13,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1203,Diplectrum formosum,reef-associated,1.67,0.49,-0.09,0.05,0.68,-0.07,1.20,-0.07,0.13,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1205,Hyporthodus flavolimbatus,demersal,1.02,0.65,-0.81,-0.55,-0.63,-0.21,0.63,1.27,0.25,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0
1206,Hyporthodus mystacinus,bathydemersal,0.16,0.64,-0.67,-0.80,-1.29,-0.26,1.26,1.60,0.25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1211,Mycteroperca interstitialis,reef-associated,-0.70,0.61,-0.55,-0.47,-0.01,-0.10,1.80,0.96,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1213,Mycteroperca phenax,reef-associated,-0.27,0.54,-0.13,-0.06,0.31,-0.68,1.80,1.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1214,Mycteroperca rubra,demersal,-0.27,-0.25,1.19,-0.02,-0.37,-0.07,1.16,1.50,-0.61,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1215,Mycteroperca tigris,reef-associated,-0.70,0.62,-0.62,-0.48,-0.55,-0.08,1.80,1.14,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1216,Mycteroperca venenosa,reef-associated,0.37,0.64,-0.70,-0.54,-0.28,-0.12,1.80,1.13,0.25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1217,Paranthias furcifer,reef-associated,2.32,0.55,-0.31,-0.18,0.24,0.04,-0.09,-0.07,0.15,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
1219,Archosargus rhomboidalis,reef-associated,1.67,0.53,-0.24,-0.08,0.23,-0.04,-0.67,0.03,0.17,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1228,Calamus pennatula,reef-associated,1.24,0.66,-0.87,-0.60,-0.48,-0.21,0.15,0.14,0.27,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1239,Lagocephalus laevigatus,pelagic-neritic,-0.49,0.46,0.05,0.96,0.83,0.09,0.97,1.13,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1240,Sphoeroides nephelus,reef-associated,1.67,0.59,-0.37,-0.15,0.36,-0.32,0.08,-0.07,0.24,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1241,Sphoeroides spengleri,reef-associated,2.10,0.52,-0.19,-0.04,1.01,0.00,0.08,-0.07,0.16,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
1242,Sphoeroides testudineus,reef-associated,1.67,0.55,-0.32,0.07,0.86,0.01,-0.09,0.19,0.15,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1247,Dasyatis americana,reef-associated,1.45,0.57,-0.32,0.05,0.27,-0.23,0.46,1.82,0.17,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1251,Myliobatis freminvillei,benthopelagic,0.59,0.06,1.09,1.44,-0.21,-0.49,-0.31,1.13,-0.38,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1253,Leucoraja garmani,reef-associated,0.81,-0.31,2.10,0.55,0.19,-1.47,0.61,-0.21,-0.15,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1263,Naso hexacanthus,reef-associated,1.02,0.68,-0.60,-0.64,0.21,0.79,-0.67,0.85,0.85,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1265,Naso unicornis,reef-associated,-0.92,0.66,-0.55,-0.66,1.30,0.69,-2.20,0.78,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1266,Zebrasoma velifer,reef-associated,-1.13,0.71,-0.74,-0.69,1.14,0.64,-2.49,0.22,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1277,Nemapteryx caelata,demersal,-0.70,0.84,-0.99,1.07,-1.21,-0.07,0.97,0.34,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1278,Trachurus mediterraneus,pelagic-oceanic,1.67,-0.55,1.53,-0.41,0.44,-0.05,-0.14,0.62,-0.68,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1279,Trachurus picturatus,benthopelagic,-0.49,-0.39,0.86,-0.49,-0.08,-0.41,-0.23,0.62,-0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1280,Arius maculatus,demersal,-0.06,0.77,-0.75,0.96,-0.62,0.16,-0.16,0.91,0.63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1281,Hexanematichthys sagor,demersal,0.81,0.82,-0.93,0.55,-0.97,0.49,0.94,0.34,0.82,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1286,Plicofollis tonggol,demersal,-1.13,0.83,-0.95,0.69,-1.95,0.39,0.08,0.22,0.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1288,Trichiurus lepturus,benthopelagic,1.02,0.32,0.22,0.56,2.27,0.78,1.28,1.98,0.33,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1296,Arius sumatranus,demersal,-1.13,0.83,-1.00,0.46,-3.01,0.49,0.08,0.00,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1297,Plicofollis tenuispinis,demersal,-0.49,0.71,-0.23,1.51,-1.70,0.14,0.96,0.11,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1300,Ariomma indicum,benthopelagic,-0.06,0.72,-0.59,0.21,-0.07,0.73,0.30,-0.25,0.82,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1303,Atherinomorus lacunosus,reef-associated,0.59,0.72,-0.62,-0.38,0.64,0.80,-0.50,-0.25,0.96,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1307,Hypoatherina temminckii,reef-associated,-0.06,0.74,-0.76,-0.39,0.29,0.71,-0.07,-0.98,1.01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
1309,Aulostomus chinensis,reef-associated,-0.27,0.67,-0.59,-0.60,0.82,0.70,1.35,0.91,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1311,Odonus niger,reef-associated,-1.13,0.74,-0.68,-0.28,0.41,0.81,-0.40,0.44,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1316,Strongylura strongylura,pelagic-neritic,-0.27,0.75,-0.74,0.35,-0.12,0.67,1.28,0.22,0.90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1319,Beryx decadactylus,bathydemersal,0.16,-0.09,0.34,-0.20,0.30,0.84,1.16,1.13,0.16,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1320,Beryx splendens,benthopelagic,1.67,0.39,-0.42,-0.20,1.44,1.02,0.61,0.78,0.41,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1323,Chascanopsetta lugubris,bathydemersal,-1.13,0.64,-0.56,-0.20,0.68,0.75,0.08,0.22,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1324,Engyprosopon grandisquama,reef-associated,0.59,0.69,-0.57,-0.35,0.91,0.80,0.39,-0.76,0.91,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1327,Mullus surmuletus,demersal,2.53,-1.19,1.13,0.36,1.09,0.28,0.01,0.22,-0.88,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
1328,Myctophum punctatum,bathypelagic,-0.27,-1.24,0.65,-0.58,0.95,1.21,-0.11,-1.07,-1.21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1329,Myoxocephalus scorpius,demersal,1.67,-2.31,1.64,0.32,2.49,0.61,0.68,0.62,-1.92,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
1331,Nerophis ophidion,demersal,0.16,-1.30,2.35,1.25,0.06,0.07,0.96,-0.10,-1.23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1333,Pseudorhombus elevatus,demersal,-1.13,0.71,-0.54,0.11,0.44,0.74,0.08,-0.47,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1335,Pseudorhombus javanicus,demersal,-1.13,0.75,-0.60,0.60,-1.19,0.74,0.08,0.09,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1336,Pegusa lascaris,demersal,1.67,-0.52,0.80,1.02,0.49,-0.05,0.17,0.22,-0.51,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
1338,Paralichthys dentatus,demersal,1.67,-1.18,3.88,2.05,1.45,-1.26,-0.01,1.07,-1.20,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1340,Phycis blennoides,benthopelagic,0.81,-0.90,1.04,-0.18,0.35,-0.02,0.35,1.23,-0.70,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
1342,Pleuronectes platessa,demersal,3.82,-1.66,1.50,1.21,2.68,-0.15,-0.38,1.13,-1.27,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
1343,Pollachius virens,demersal,2.96,-1.88,2.64,1.14,2.44,-0.07,0.27,1.39,-1.44,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
1344,Pomatoschistus microps,demersal,1.24,-1.52,1.48,1.56,1.84,-0.39,-0.43,-1.27,-1.14,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1345,Pomatoschistus minutus,demersal,1.88,-1.61,1.58,1.21,1.76,-0.02,-0.35,-1.07,-1.27,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0
1347,Pomatoschistus pictus,demersal,0.37,-1.59,1.51,1.41,0.84,-0.37,-0.57,-1.67,-1.26,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1348,Scophthalmus maximus,demersal,2.96,-1.67,2.00,1.62,1.16,-0.19,0.87,1.13,-1.37,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
